Wisłok,Rzeszów,29
Bóbr,Kamienna Góra,66
Lubaczówka,Zapałów,51
Wisznia,Nienowice,58
Kamienna,Jelenia Góra 2,75
Reda,Wejherowo,62
Nysa Łużycka,Sieniawka,62
Łososina,Jakubkowice,62
Nysa Kłodzka,Kopice,83
Ropa,Topoliny,59
Warta,Poraj,90
Wiała,Gusin,17
jez.Miedwie,Morzyczyn,66
Wda,Czarna Woda,88
Wieprz,Michałów,50
Psina,Bojanów,98
Jarka,Jurkiszki,49
Kamienna,Czekarzewice,50
Biała Lądecka,Lądek Zdrój,64
Miedzianka,Bogatynia,59
Stradomka,Stradomka,56
Mała Panew,Staniszcze Wielkie,67
Pilica,Nowe Miasto/Pilicą,44
Skora,Chojnów,55
Nurzec,Brańsk,68
Kamienna,Michałów 2,45
Łupawa,Łupawa,63
Czarna Przemsza,Radocha,47
Skawa,Zator,74
Łobżonka,Wyrzysk,26
Biała Głuchołaska,Głuchołazy,53
San,Jarosław,27
Wieprza,Korzybie,37
Ścinawka,Gorzuchów,62
Bystrzyca,Bystrzyca Kłodzka 2,30
Kwisa,Leśna,10
Mała Panew,Ozimek,74
Nysa Szalona,Winnica,75
Czarna Woda,Gniechowice,291
Bawół,Trąbczyn,42
Uszwica,Brzesko-Okocim,
Lepietnica,Ludźmierz,115
Prosna,Bogusław,94
Osa,Rogóźno,44
Raba,Stróża,56
Nysa Kłodzka,Skorogoszcz,51
Czarna Woda,Bukowna,76
Niesób,Kuźnica Skakawska,47
Ślęza,Białobrzezie,151
Łupawa,Smołdzino,38
Słupia,Soszyca,26
Wisłoka,Żółków,40
Bukowa,Ruda Jastkowska,36
Warta,Uniejów,35
Piława,Mościsko,169
Uszwica,Brzesko-Miasto,
Brynica,Kozłowa Góra,45
Bierawka,Grabówka,114
Kłodnica,Gliwice-Łabędy,3
Widawka,Podgórze,25
Mała Panew,Krupski Młyn,29
Pilica,Spała,31
-,Szabelnia,28
Kanał Mosiński,Mosin,62
Olza,Cieszyn,25
Kamienica,Barcinek,66
Jedlica,Kowary,25
Kamienna,Wąchock,12
Wieprz,Nielisz,26
Warta,Kręciwilk,32
Bóbr,Pilchowice,74
Barycz,Odolanów,116
Bystrzyca,Jugowice,41
Kamienna,Jakuszyce,18
Nysa Szalona,Jawor,80
Nysa Kłodzka,Bystrzyca Kłodzka,16
Sośniak,Sosnówka,6
-,Lipnica Murowana,
Pasłęka,Braniewo,566
Odra,Brzeg Dolny,
Lubsza,Pleśno,101
Narew,Piątnica-Łomża,105
Wisła,Warszawa-Bulwary,29
